GEOID,pop_50plus
250010101001,678.0
250010101002,267.0
250010101003,286.0
250010101004,267.0
250010101005,434.0
250010102061,394.0
250010102062,842.0
250010102063,1204.0
250010102081,491.0
250010102082,356.0
250010102083,305.0
250010103041,734.0
250010103042,531.0
250010103043,543.0
250010103061,674.0
250010103062,476.0
250010103063,494.0
250010104001,254.0
250010104002,620.0
250010104003,512.0
250010104004,510.0
250010105001,892.0
250010105002,748.0
250010105003,607.0
250010106001,560.0
250010106002,418.0
250010106003,859.0
250010106004,327.0
250010107001,326.0
250010107002,861.0
250010107003,472.0
250010107004,397.0
250010108001,748.0
250010108002,432.0
250010108003,318.0
250010108004,259.0
250010108005,997.0
250010109001,938.0
250010109002,620.0
250010109003,792.0
250010109004,730.0
250010110021,390.0
250010110022,348.0
250010110023,393.0
250010110024,1087.0
250010111001,567.0
250010111002,612.0
250010111003,1333.0
250010111004,672.0
250010112001,624.0
250010112002,709.0
250010112003,551.0
250010112004,491.0
250010113001,473.0
250010113002,734.0
250010113003,423.0
250010114001,683.0
250010114002,587.0
250010114003,256.0
250010114004,530.0
250010115001,235.0
250010115002,453.0
250010115003,272.0
250010115004,374.0
250010115005,648.0
250010116001,639.0
250010116002,281.0
250010116003,569.0
250010117001,424.0
250010117002,502.0
250010117003,431.0
250010118011,1108.0
250010118012,768.0
250010118021,513.0
250010118022,476.0
250010118023,611.0
250010118024,547.0
250010120011,1103.0
250010120012,911.0
250010120013,442.0
250010120014,680.0
250010120021,453.0
250010120022,725.0
250010120023,500.0
250010121011,734.0
250010121012,169.0
250010121013,241.0
250010121014,95.0
250010121015,647.0
250010121021,407.0
250010121022,579.0
250010121023,332.0
250010121024,509.0
250010122001,737.0
250010122002,467.0
250010122003,688.0
250010122004,444.0
250010125021,270.0
250010125022,437.0
250010125023,319.0
250010125024,280.0
250010126011,1027.0
250010126012,290.0
250010126021,345.0
250010126022,465.0
250010126023,301.0
250010126024,576.0
250010127001,534.0
250010127002,561.0
250010127003,440.0
250010127004,918.0
250010128001,338.0
250010128002,547.0
250010128003,902.0
250010129001,432.0
250010129002,457.0
250010129003,1133.0
250010130021,304.0
250010130022,495.0
250010130023,621.0
250010130024,538.0
250010131001,451.0
250010131002,906.0
250010131003,462.0
250010131004,619.0
250010132001,704.0
250010132002,991.0
250010132003,995.0
250010133001,451.0
250010133002,497.0
250010133003,955.0
250010134001,423.0
250010134002,304.0
250010134003,509.0
250010134004,708.0
250010135001,427.0
250010135002,513.0
250010135003,1238.0
250010135004,749.0
250010136001,1332.0
250010136002,925.0
250010136003,415.0
250010137001,603.0
250010137002,437.0
250010137003,335.0
250010137004,494.0
250010138001,1644.0
250010138002,462.0
250010138003,235.0
250010139001,674.0
250010139002,421.0
250010139003,919.0
250010139004,554.0
250010140021,706.0
250010140022,633.0
250010140023,511.0
250010140024,529.0
250010141001,40.0
250010143001,396.0
250010143002,187.0
250010143003,378.0
250010143004,515.0
250010143005,636.0
250010144021,818.0
250010144022,1186.0
250010144023,1161.0
